geoid,block_group,lat,lon
060750331004020,060750331004,37.730636,-122.4901428
060750332011005,060750332011,37.7241142,-122.4797457
060750332011006,060750332011,37.7266983,-122.478145
060750332011011,060750332011,37.7269984,-122.4778673
060750332011010,060750332011,37.728533,-122.4771299
060750332011002,060750332011,37.7295647,-122.481758
060750332011004,060750332011,37.7300918,-122.4782669
060750331002011,060750331002,37.7317872,-122.4822687
060750331002012,060750331002,37.7318075,-122.4813861
060750331002013,060750331002,37.731822,-122.4805023
060750331001013,060750331001,37.7318366,-122.4796197
060750331004030,060750331004,37.7294584,-122.4909233
060750331003012,060750331003,37.7296757,-122.495589
060750331004027,060750331004,37.7303255,-122.4930497
060750331003009,060750331003,37.7300986,-122.4939564
060750331003013,060750331003,37.7304738,-122.4976223
060750331004026,060750331004,37.7304634,-122.4924609
060750331004022,060750331004,37.7306635,-122.4916686
060750331003014,060750331003,37.7306564,-122.497145
060750331003015,060750331003,37.7306769,-122.4960891
060750331003011,060750331003,37.7307573,-122.493635
060750331004019,060750331004,37.7305335,-122.4874918
060750331004010,060750331004,37.7315218,-122.4875356
060750331004016,060750331004,37.7315754,-122.4901518
060750331004009,060750331004,37.7315307,-122.4866661
060750331004018,060750331004,37.7316167,-122.4884118
060750331004008,060750331004,37.7315849,-122.485789
060750331002008,060750331002,37.7316378,-122.4849103
060750331004017,060750331004,37.7316619,-122.4892899
060750331002009,060750331002,37.7316909,-122.4840311
060750331002010,060750331002,37.731744,-122.4831504
060750331003010,060750331003,37.7310162,-122.49467
060750331004021,060750331004,37.7314065,-122.4909823
060750331003017,060750331003,37.7314785,-122.4955944
060750331003007,060750331003,37.7317228,-122.4984638
060750331003016,060750331003,37.732251,-122.4961894
060750331003005,060750331003,37.7323273,-122.4972049
060750331003004,060750331003,37.733148,-122.4970748
060750331003006,060750331003,37.7328485,-122.4952367
060750331003008,060750331003,37.7328905,-122.4937858
060750331004023,060750331004,37.732876,-122.4919216
060750331004024,060750331004,37.7327627,-122.4928217
060750331003003,060750331003,37.7332186,-122.4943786
060750331004033,060750331004,37.733272,-122.4932429
060750331003002,060750331003,37.7334553,-122.4941713
060750331004034,060750331004,37.733485,-122.4934816
060750331004014,060750331004,37.7337676,-122.4908719
060750331003001,060750331003,37.7338369,-122.4952545
060750331003000,060750331003,37.7338988,-122.4938569
060750331004025,060750331004,37.7339563,-122.4926057
060750604001008,060750604001,37.733969,-122.4979651
060750332031015,060750332031,37.7176803,-122.4742921
060750332041015,060750332041,37.7182206,-122.4749536
060750332031003,060750332031,37.7182971,-122.4743591
060750313012007,060750313012,37.7184663,-122.4725063
060750309007018,060750309007,37.718671,-122.4735706
060750313012006,060750313012,37.7187332,-122.4720167
060750309007017,060750309007,37.7188572,-122.4741406
060750309007020,060750309007,37.719102,-122.4733825
060750332041016,060750332041,37.7193453,-122.4752158
060750332041006,060750332041,37.7199614,-122.4754387
060750313012009,060750313012,37.7169862,-122.4711715
060750313012010,060750313012,37.7169878,-122.4702757
060750313012011,060750313012,37.7169929,-122.469379
060750313012012,060750313012,37.7169992,-122.4684782
060750313012005,060750313012,37.7187612,-122.4711923
060750313012004,060750313012,37.7187678,-122.4702938
060750313012003,060750313012,37.7187739,-122.4693955
060750313012002,060750313012,37.7187785,-122.468495
060750313012001,060750313012,37.7187857,-122.4675945
060750313011005,060750313011,37.7206376,-122.4712142
060750332041012,060750332041,37.7193922,-122.4758381
060750332041008,060750332041,37.71948,-122.4786673
060750332041003,060750332041,37.7194379,-122.4774581
060750332041013,060750332041,37.719594,-122.4762079
060750332043008,060750332043,37.7197522,-122.4822243
060750332041004,060750332041,37.719864,-122.4764972
060750332043009,060750332043,37.7196976,-122.4807982
060750332041005,060750332041,37.7198833,-122.4758827
060750332043010,060750332043,37.7201307,-122.4803986
060750332011015,060750332011,37.7204017,-122.4798183
060750309007004,060750309007,37.7201382,-122.4726153
060750309007005,060750309007,37.7203391,-122.4731348
060750332041007,060750332041,37.7201859,-122.4755385
060750309007015,060750309007,37.7203846,-122.4747586
060750309007014,060750309007,37.7205896,-122.4740713
060750313011007,060750313011,37.7205935,-122.4723929
060750313011006,060750313011,37.7206159,-122.4719777
060750309007019,060750309007,37.7207404,-122.4752066
060750309007016,060750309007,37.7211333,-122.4748516
060750309007013,060750309007,37.7212855,-122.4741006
060750332041001,060750332041,37.7204123,-122.4765632
060750332041002,060750332041,37.7204615,-122.4780257
060750332041000,060750332041,37.7204744,-122.4757243
060750332011017,060750332011,37.7208276,-122.4774723
060750332011013,060750332011,37.720908,-122.4805403
060750332011016,060750332011,37.7208606,-122.4756682
060750332043005,060750332043,37.7209035,-122.482195
060750332043006,060750332043,37.7212419,-122.4816854
060750332011014,060750332011,37.7214897,-122.4812558
060750332043003,060750332043,37.7215104,-122.4826485
060750313011004,060750313011,37.7206449,-122.470315
060750313011003,060750313011,37.7206513,-122.4694135
060750313011002,060750313011,37.7206573,-122.4685132
060750313011001,060750313011,37.7206622,-122.4676165
060750313011000,060750313011,37.7206717,-122.4667176
060750309004028,060750309004,37.722331,-122.470024
060750309003022,060750309003,37.7225661,-122.467747
060750309003023,060750309003,37.7226135,-122.4687938
060750309004026,060750309004,37.7226073,-122.4709644
060750309004027,060750309004,37.7242303,-122.4703313
060750309003024,060750309003,37.7221759,-122.4631469
060750309003017,060750309003,37.7223132,-122.464742
060750309003018,060750309003,37.7224541,-122.4656865
060750309003021,060750309003,37.7225057,-122.4667192
060750309003011,060750309003,37.7233041,-122.4631493
060750309003007,060750309003,37.7241074,-122.4638492
060750309003019,060750309003,37.7242153,-122.464821
060750309003013,060750309003,37.7243434,-122.4658528
060750309003012,060750309003,37.7245813,-122.4627987
060750309003008,060750309003,37.7251478,-122.4629283
060750309007006,060750309007,37.721468,-122.4731595
060750309007011,060750309007,37.7221659,-122.474715
060750309007012,060750309007,37.7221811,-122.4739962
060750309007007,060750309007,37.7222401,-122.4731003
060750309004024,060750309004,37.7226888,-122.4720562
060750309004025,060750309004,37.7228025,-122.4716647
060750309007009,060750309007,37.7236878,-122.4738065
060750309007008,060750309007,37.723884,-122.4729655
060750309007010,060750309007,37.7239438,-122.474586
060750332011012,060750332011,37.7240329,-122.4750473
060750309007000,060750309007,37.7242316,-122.4724094
060750309004023,060750309004,37.7242105,-122.4721974
060750309004021,060750309004,37.725266,-122.4715037
060750309004022,060750309004,37.7253,-122.471916
060750309007003,060750309007,37.7248098,-122.4742838
060750309007002,060750309007,37.7260949,-122.4737566
060750309007001,060750309007,37.7261815,-122.4728706
060750332011007,060750332011,37.7262744,-122.4755749
060750332011008,060750332011,37.7269403,-122.475505
060750309004009,060750309004,37.7272123,-122.4718171
060750309003014,060750309003,37.7244663,-122.4668754
060750309003020,060750309003,37.7245669,-122.4677801
060750309003015,060750309003,37.725182,-122.469378
060750309003016,060750309003,37.724686,-122.4687442
060750309004020,060750309004,37.7259886,-122.4701415
060750309004019,060750309004,37.7267387,-122.4699541
060750309004017,060750309004,37.7268745,-122.4680143
060750309004018,060750309004,37.727505,-122.4670086
060750309004016,060750309004,37.7278523,-122.4688318
060750309004011,060750309004,37.7278267,-122.4709967
060750314005003,060750314005,37.7170238,-122.4596476
060750314005002,060750314005,37.7170413,-122.4575807
060750314005001,060750314005,37.7178315,-122.4608719
060750314005000,060750314005,37.7178507,-122.4576022
060750312014003,060750312014,37.7191221,-122.461742
060750312014004,060750312014,37.7191246,-122.4607228
060750312014005,060750312014,37.7191262,-122.4597028
060750312021005,060750312021,37.7191277,-122.4586814
060750312021004,060750312021,37.7191308,-122.4576609
060750312014002,060750312014,37.720922,-122.4617492
060750314001000,060750314001,37.717879,-122.4552251
060750312022016,060750312022,37.7181195,-122.4525247
060750312021000,060750312021,37.7191281,-122.4531347
060750312021001,060750312021,37.7191349,-122.454601
060750312021003,060750312021,37.719131,-122.4566359
060750312021002,060750312021,37.7191379,-122.4556175
060750312011009,060750312011,37.7209376,-122.4566487
060750312011008,060750312011,37.7209408,-122.4556297
060750312011007,060750312011,37.7209432,-122.454612
060750312011006,060750312011,37.7209463,-122.453599
060750313013005,060750313013,37.7187992,-122.465797
060750313013006,060750313013,37.7188038,-122.4648999
060750313013007,060750313013,37.7188509,-122.4639932
060750313013008,060750313013,37.7189493,-122.4630981
060750313013009,060750313013,37.7191151,-122.462453
060750313013004,060750313013,37.7206747,-122.46582
060750313013003,060750313013,37.7206848,-122.4649233
060750313013002,060750313013,37.7207265,-122.4640293
060750313013001,060750313013,37.7208292,-122.4631271
060750313013000,060750313013,37.720853,-122.4624663
060750312022004,060750312022,37.7212658,-122.4501217
060750261004014,060750261004,37.7212934,-122.448105
060750312022008,060750312022,37.7213635,-122.4482988
060750312022006,060750312022,37.7215794,-122.4488658
060750312022002,060750312022,37.7216269,-122.4482549
060750312022003,060750312022,37.7219158,-122.4497025
060750312011003,060750312011,37.722037,-122.4516864
060750261004013,060750261004,37.7221958,-122.447952
060750312022001,060750312022,37.7223119,-122.4489138
060750312011001,060750312011,37.7226332,-122.4505213
060750312011005,060750312011,37.7210641,-122.4525354
060750312012000,060750312012,37.7225898,-122.45362
060750312012001,060750312012,37.7226948,-122.4546323
060750312012003,060750312012,37.7228005,-122.4556481
060750312012005,060750312012,37.7229152,-122.4566616
060750312011012,060750312011,37.7230114,-122.4519355
060750312011004,060750312011,37.7231615,-122.4527172
060750310002013,060750310002,37.7233485,-122.4536022
060750312012002,060750312012,37.7235645,-122.454625
060750312012004,060750312012,37.7237788,-122.4556408
060750312014001,060750312014,37.7209265,-122.4607295
060750312014000,060750312014,37.7209292,-122.459711
060750312011011,060750312011,37.7209321,-122.4586908
060750312011010,060750312011,37.720935,-122.4576705
060750312013006,060750312013,37.7227345,-122.4617579
060750312013004,060750312013,37.722739,-122.460737
060750312013005,060750312013,37.7227429,-122.4597171
060750312012011,060750312012,37.7227467,-122.4586964
060750312012007,060750312012,37.7230173,-122.4576829
060750312012009,060750312012,37.7240294,-122.458726
060750312013001,060750312013,37.724142,-122.4597463
060750312012008,060750312012,37.7242263,-122.4577595
060750312013002,060750312013,37.7242367,-122.4607579
060750312012010,060750312012,37.7244247,-122.4586994
060750312013007,060750312013,37.724361,-122.4617841
060750312013000,060750312013,37.724611,-122.4595825
060750310002027,060750310002,37.7246929,-122.4576904
060750310002028,060750310002,37.724702,-122.458192
060750312013003,060750312013,37.7248486,-122.46072
060750310003020,060750310003,37.7249223,-122.4591233
060750312013008,060750312013,37.7251003,-122.4617198
060750310003017,060750310003,37.7252797,-122.4604507
060750310002026,060750310002,37.7253986,-122.4581961
060750310003018,060750310003,37.7256411,-122.4597502
060750310003019,060750310003,37.7255926,-122.4589289
060750310002025,060750310002,37.7255976,-122.4574658
060750310003013,060750310003,37.725621,-122.4620808
060750310003016,060750310003,37.7263206,-122.4603531
060750310003014,060750310003,37.7265645,-122.4611838
060750310003011,060750310003,37.7267021,-122.4586541
060750312012006,060750312012,37.7240323,-122.4568403
060750310002023,060750310002,37.7247555,-122.4568629
060750311003013,060750311003,37.7255933,-122.4520004
060750310002024,060750310002,37.725629,-122.4566627
060750310002012,060750310002,37.7261091,-122.454392
060750310002018,060750310002,37.7267925,-122.4568835
060750310002014,060750310002,37.7285145,-122.4569119
060750311003011,060750311003,37.7287029,-122.4517829
060750311003012,060750311003,37.7288168,-122.4532406
060750310002009,060750310002,37.7293122,-122.456036
060750310002030,060750310002,37.7266412,-122.4582027
060750310002019,060750310002,37.7267042,-122.4577504
060750310003012,060750310003,37.7267902,-122.4595205
060750310003015,060750310003,37.7278598,-122.4617051
060750310003008,060750310003,37.7281608,-122.4603629
060750310002021,060750310002,37.7285359,-122.4582102
060750310002020,060750310002,37.7284682,-122.457756
060750310003010,060750310003,37.7284666,-122.4586637
060750310003009,060750310003,37.7285017,-122.4595053
060750310003007,060750310003,37.7290434,-122.4612181
060750309003009,060750309003,37.7253764,-122.4625178
060750309003005,060750309003,37.7254772,-122.4638561
060750309003010,060750309003,37.725673,-122.4633276
060750309003006,060750309003,37.7259364,-122.4640301
060750309003004,060750309003,37.7260689,-122.4643984
060750309003001,060750309003,37.726045,-122.4665225
060750309003002,060750309003,37.7262702,-122.464929
060750309003003,060750309003,37.7265911,-122.4657131
060750309002020,060750309002,37.7267116,-122.4638016
060750309002019,060750309002,37.7268611,-122.46309
060750309004008,060750309004,37.7272661,-122.4720402
060750309006015,060750309006,37.7277285,-122.4736691
060750309006017,060750309006,37.7277901,-122.4722129
060750309006016,060750309006,37.7277914,-122.4727619
060750309004010,060750309004,37.7282665,-122.4717553
060750332011009,060750332011,37.7285126,-122.4754429
060750309006014,060750309006,37.7292122,-122.4737055
